id,title,category,subcategory,source_type,health,item_count,last_success,url,rss_url,atom_url,json_url,ics_url
jb-sjc-opinions,Supreme Judicial Court (Law Court) Published Opinions,Maine Judicial Branch,Supreme Judicial Court Opinions,html,ok,50,2026-09-02T20:59:46.131248+00:00,https://www.courts.maine.gov/courts/sjc/opinions.html,https://bedardandy.github.io/maine-government-feeds/feeds/rss/jb-sjc-opinions.xml,https://bedardandy.github.io/maine-government-feeds/feeds/atom/jb-sjc-opinions.xml,https://bedardandy.github.io/maine-government-feeds/feeds/json/jb-sjc-opinions.json,https://bedardandy.github.io/maine-government-feeds/calendar/jb-sjc-opinions.ics
jb-bcd-orders,Business and Consumer Docket (BCD) Orders and Decisions,Maine Judicial Branch,Business and Consumer Docket opinions/orders,html,ok,50,2026-09-02T20:59:48.449673+00:00,https://www.courts.maine.gov/courts/bcd/orders.html,https://bedardandy.github.io/maine-government-feeds/feeds/rss/jb-bcd-orders.xml,https://bedardandy.github.io/maine-government-feeds/feeds/atom/jb-bcd-orders.xml,https://bedardandy.github.io/maine-government-feeds/feeds/json/jb-bcd-orders.json,https://bedardandy.github.io/maine-government-feeds/calendar/jb-bcd-orders.ics
jb-rules-proposed,Maine Judicial Branch Proposed Rule Amendments,Maine Judicial Branch,Rules amendments,page_monitor,ok,1,2026-09-02T20:59:50.776750+00:00,https://www.courts.maine.gov/rules/proposed.html,https://bedardandy.github.io/maine-government-feeds/feeds/rss/jb-rules-proposed.xml,https://bedardandy.github.io/maine-government-feeds/feeds/atom/jb-rules-proposed.xml,https://bedardandy.github.io/maine-government-feeds/feeds/json/jb-rules-proposed.json,https://bedardandy.github.io/maine-government-feeds/calendar/jb-rules-proposed.ics
jb-admin-orders,Maine Judicial Branch Administrative Orders,Maine Judicial Branch,Administrative orders,html,ok,50,2026-09-02T20:59:52.978075+00:00,https://www.courts.maine.gov/adminorders/index.html,https://bedardandy.github.io/maine-government-feeds/feeds/rss/jb-admin-orders.xml,https://bedardandy.github.io/maine-government-feeds/feeds/atom/jb-admin-orders.xml,https://bedardandy.github.io/maine-government-feeds/feeds/json/jb-admin-orders.json,https://bedardandy.github.io/maine-government-feeds/calendar/jb-admin-orders.ics
jb-standing-orders,Maine Judicial Branch Standing Orders,Maine Judicial Branch,Standing orders,html,ok,19,2026-09-02T20:59:55.132559+00:00,https://www.courts.maine.gov/adminorders/index.html,https://bedardandy.github.io/maine-government-feeds/feeds/rss/jb-standing-orders.xml,https://bedardandy.github.io/maine-government-feeds/feeds/atom/jb-standing-orders.xml,https://bedardandy.github.io/maine-government-feeds/feeds/json/jb-standing-orders.json,https://bedardandy.github.io/maine-government-feeds/calendar/jb-standing-orders.ics
jb-court-forms,Maine Judicial Branch Court Forms (mjbportal database),Maine Judicial Branch,Court forms,html,ok,50,2026-09-02T20:59:55.436306+00:00,https://mjbportal.courts.maine.gov/CourtForms/FormsLists/Index,https://bedardandy.github.io/maine-government-feeds/feeds/rss/jb-court-forms.xml,https://bedardandy.github.io/maine-government-feeds/feeds/atom/jb-court-forms.xml,https://bedardandy.github.io/maine-government-feeds/feeds/json/jb-court-forms.json,https://bedardandy.github.io/maine-government-feeds/calendar/jb-court-forms.ics
jb-court-fees,Maine Judicial Branch Court Fees Schedule,Maine Judicial Branch,Court fees,page_monitor,ok,1,2026-09-02T20:59:57.543620+00:00,https://www.courts.maine.gov/forms/fees.html,https://bedardandy.github.io/maine-government-feeds/feeds/rss/jb-court-fees.xml,https://bedardandy.github.io/maine-government-feeds/feeds/atom/jb-court-fees.xml,https://bedardandy.github.io/maine-government-feeds/feeds/json/jb-court-fees.json,https://bedardandy.github.io/maine-government-feeds/calendar/jb-court-fees.ics
jb-efiling-notices,Maine eCourts / eFileMaine News & Announcements,Maine Judicial Branch,eFiling notices,html,ok,38,2026-09-02T20:59:59.850297+00:00,https://www.courts.maine.gov/ecourts/news.html,https://bedardandy.github.io/maine-government-feeds/feeds/rss/jb-efiling-notices.xml,https://bedardandy.github.io/maine-government-feeds/feeds/atom/jb-efiling-notices.xml,https://bedardandy.github.io/maine-government-feeds/feeds/json/jb-efiling-notices.json,https://bedardandy.github.io/maine-government-feeds/calendar/jb-efiling-notices.ics
jb-news,Maine Judicial Branch News & Announcements,Maine Judicial Branch,Judicial Branch news,html,ok,50,2026-09-02T21:00:02.650878+00:00,https://www.courts.maine.gov/news/index.html,https://bedardandy.github.io/maine-government-feeds/feeds/rss/jb-news.xml,https://bedardandy.github.io/maine-government-feeds/feeds/atom/jb-news.xml,https://bedardandy.github.io/maine-government-feeds/feeds/json/jb-news.json,https://bedardandy.github.io/maine-government-feeds/calendar/jb-news.ics
jb-court-alerts,Maine Judicial Branch Court Alerts & Closings,Maine Judicial Branch,Jury/court closure notices,page_monitor,ok,8,2026-09-02T21:00:04.513886+00:00,https://www.courts.maine.gov/courts/alerts.shtml,https://bedardandy.github.io/maine-government-feeds/feeds/rss/jb-court-alerts.xml,https://bedardandy.github.io/maine-government-feeds/feeds/atom/jb-court-alerts.xml,https://bedardandy.github.io/maine-government-feeds/feeds/json/jb-court-alerts.json,https://bedardandy.github.io/maine-government-feeds/calendar/jb-court-alerts.ics
